"Id","Name","SetupEntityAccessItems"
"01p0W000003jJnXQAU","AbstractTriggerHandler","[{""Parent"":{""Id"":""0PSd0000000oWPgGAM"",""Type"":""Profile"",""Label"":""00ex00000018ozT_128_09_43_34_1"",""PermissionSetGroupId"":null,""Profile"":{""attributes"":{""type"":""Profile"",""url"":""/services/data/v53.0/sobjects/Profile/00ed00000017IobAAE""},""Id"":""00ed00000017IobAAE"",""Name"":""System Administrator""}}}]"
"01p0W000003jH4CQAU","AccountFactory","[{""Parent"":{""Id"":""0PSd0000000oWPgGAM"",""Type"":""Profile"",""Label"":""00ex00000018ozT_128_09_43_34_1"",""PermissionSetGroupId"":null,""Profile"":{""attributes"":{""type"":""Profile"",""url"":""/services/data/v53.0/sobjects/Profile/00ed00000017IobAAE""},""Id"":""00ed00000017IobAAE"",""Name"":""System Administrator""}}}]"
"01p0W000004AaC4QAK","AdvisorPortalCase","[{""Parent"":{""Id"":""0PSd0000000oWPgGAM"",""Type"":""Profile"",""Label"":""00ex00000018ozT_128_09_43_34_1"",""PermissionSetGroupId"":null,""Profile"":{""attributes"":{""type"":""Profile"",""url"":""/services/data/v53.0/sobjects/Profile/00ed00000017IobAAE""},""Id"":""00ed00000017IobAAE"",""Name"":""System Administrator""}}},{""Parent"":{""Id"":""0PSd0000001sKhEGAU"",""Type"":""Regular"",""Label"":""Role: Academic Advisor Portal (Service Users)"",""PermissionSetGroupId"":null,""Profile"":null}}]"
"01p0W000004AaC5QAK","AdvisorPortalCaseTest","[{""Parent"":{""Id"":""0PSd0000000oWPgGAM"",""Type"":""Profile"",""Label"":""00ex00000018ozT_128_09_43_34_1"",""PermissionSetGroupId"":null,""Profile"":{""attributes"":{""type"":""Profile"",""url"":""/services/data/v53.0/sobjects/Profile/00ed00000017IobAAE""},""Id"":""00ed00000017IobAAE"",""Name"":""System Administrator""}}}]"
"01p0W000004AaC6QAK","AdvisorPortalContact","[{""Parent"":{""Id"":""0PSd0000000oWPgGAM"",""Type"":""Profile"",""Label"":""00ex00000018ozT_128_09_43_34_1"",""PermissionSetGroupId"":null,""Profile"":{""attributes"":{""type"":""Profile"",""url"":""/services/data/v53.0/sobjects/Profile/00ed00000017IobAAE""},""Id"":""00ed00000017IobAAE"",""Name"":""System Administrator""}}},{""Parent"":{""Id"":""0PSd0000001sKhEGAU"",""Type"":""Regular"",""Label"":""Role: Academic Advisor Portal (Service Users)"",""PermissionSetGroupId"":null,""Profile"":null}}]"
"01p0W000004AaC7QAK","AdvisorPortalContactTest","[{""Parent"":{""Id"":""0PSd0000000oWPgGAM"",""Type"":""Profile"",""Label"":""00ex00000018ozT_128_09_43_34_1"",""PermissionSetGroupId"":null,""Profile"":{""attributes"":{""type"":""Profile"",""url"":""/services/data/v53.0/sobjects/Profile/00ed00000017IobAAE""},""Id"":""00ed00000017IobAAE"",""Name"":""System Administrator""}}}]"
"01p0W000004AaC8QAK","AdvisorPortalFilter","[{""Parent"":{""Id"":""0PSd0000000oWPgGAM"",""Type"":""Profile"",""Label"":""00ex00000018ozT_128_09_43_34_1"",""PermissionSetGroupId"":null,""Profile"":{""attributes"":{""type"":""Profile"",""url"":""/services/data/v53.0/sobjects/Profile/00ed00000017IobAAE""},""Id"":""00ed00000017IobAAE"",""Name"":""System Administrator""}}},{""Parent"":{""Id"":""0PSd0000001sKhEGAU"",""Type"":""Regular"",""Label"":""Role: Academic Advisor Portal (Service Users)"",""PermissionSetGroupId"":null,""Profile"":null}}]"
"01p0W000004AaC9QAK","AdvisorPortalFilterSectionController","[{""Parent"":{""Id"":""0PSd0000000oWPgGAM"",""Type"":""Profile"",""Label"":""00ex00000018ozT_128_09_43_34_1"",""PermissionSetGroupId"":null,""Profile"":{""attributes"":{""type"":""Profile"",""url"":""/services/data/v53.0/sobjects/Profile/00ed00000017IobAAE""},""Id"":""00ed00000017IobAAE"",""Name"":""System Administrator""}}},{""Parent"":{""Id"":""0PSd0000001sKhEGAU"",""Type"":""Regular"",""Label"":""Role: Academic Advisor Portal (Service Users)"",""PermissionSetGroupId"":null,""Profile"":null}}]"
"01p0W000004AaCAQA0","AdvisorPortalFilterSectionControllerTest","[{""Parent"":{""Id"":""0PSd0000000oWPgGAM"",""Type"":""Profile"",""Label"":""00ex00000018ozT_128_09_43_34_1"",""PermissionSetGroupId"":null,""Profile"":{""attributes"":{""type"":""Profile"",""url"":""/services/data/v53.0/sobjects/Profile/00ed00000017IobAAE""},""Id"":""00ed00000017IobAAE"",""Name"":""System Administrator""}}}]"
"01p0W000004AaCBQA0","AdvisorPortalMassEmailControllerTest","[{""Parent"":{""Id"":""0PSd0000000oWPgGAM"",""Type"":""Profile"",""Label"":""00ex00000018ozT_128_09_43_34_1"",""PermissionSetGroupId"":null,""Profile"":{""attributes"":{""type"":""Profile"",""url"":""/services/data/v53.0/sobjects/Profile/00ed00000017IobAAE""},""Id"":""00ed00000017IobAAE"",""Name"":""System Administrator""}}}]"
"01p0W000004AaCCQA0","AdvisorPortalMassEmailModalController","[{""Parent"":{""Id"":""0PSd0000000oWPgGAM"",""Type"":""Profile"",""Label"":""00ex00000018ozT_128_09_43_34_1"",""PermissionSetGroupId"":null,""Profile"":{""attributes"":{""type"":""Profile"",""url"":""/services/data/v53.0/sobjects/Profile/00ed00000017IobAAE""},""Id"":""00ed00000017IobAAE"",""Name"":""System Administrator""}}},{""Parent"":{""Id"":""0PSd0000001sKhEGAU"",""Type"":""Regular"",""Label"":""Role: Academic Advisor Portal (Service Users)"",""PermissionSetGroupId"":null,""Profile"":null}}]"
"01p0W000004AaCDQA0","AdvisorPortalMassTransferController","[{""Parent"":{""Id"":""0PSd0000000oWPgGAM"",""Type"":""Profile"",""Label"":""00ex00000018ozT_128_09_43_34_1"",""PermissionSetGroupId"":null,""Profile"":{""attributes"":{""type"":""Profile"",""url"":""/services/data/v53.0/sobjects/Profile/00ed00000017IobAAE""},""Id"":""00ed00000017IobAAE"",""Name"":""System Administrator""}}},{""Parent"":{""Id"":""0PSd0000001sKhEGAU"",""Type"":""Regular"",""Label"":""Role: Academic Advisor Portal (Service Users)"",""PermissionSetGroupId"":null,""Profile"":null}}]"
"01p0W000004AaCEQA0","AdvisorPortalMassTransferControllerTest","[{""Parent"":{""Id"":""0PSd0000000oWPgGAM"",""Type"":""Profile"",""Label"":""00ex00000018ozT_128_09_43_34_1"",""PermissionSetGroupId"":null,""Profile"":{""attributes"":{""type"":""Profile"",""url"":""/services/data/v53.0/sobjects/Profile/00ed00000017IobAAE""},""Id"":""00ed00000017IobAAE"",""Name"":""System Administrator""}}}]"
"01p0W000004AaCFQA0","AdvisorPortalMassUpdateController","[{""Parent"":{""Id"":""0PSd0000000oWPgGAM"",""Type"":""Profile"",""Label"":""00ex00000018ozT_128_09_43_34_1"",""PermissionSetGroupId"":null,""Profile"":{""attributes"":{""type"":""Profile"",""url"":""/services/data/v53.0/sobjects/Profile/00ed00000017IobAAE""},""Id"":""00ed00000017IobAAE"",""Name"":""System Administrator""}}},{""Parent"":{""Id"":""0PSd0000001sKhEGAU"",""Type"":""Regular"",""Label"":""Role: Academic Advisor Portal (Service Users)"",""PermissionSetGroupId"":null,""Profile"":null}}]"
"01p0W000004AaCGQA0","AdvisorPortalMassUpdateControllerTest","[{""Parent"":{""Id"":""0PSd0000000oWPgGAM"",""Type"":""Profile"",""Label"":""00ex00000018ozT_128_09_43_34_1"",""PermissionSetGroupId"":null,""Profile"":{""attributes"":{""type"":""Profile"",""url"":""/services/data/v53.0/sobjects/Profile/00ed00000017IobAAE""},""Id"":""00ed00000017IobAAE"",""Name"":""System Administrator""}}}]"
"01p0W000004AaCHQA0","AdvisorPortalTopLevelFilterController","[{""Parent"":{""Id"":""0PSd0000000oWPgGAM"",""Type"":""Profile"",""Label"":""00ex00000018ozT_128_09_43_34_1"",""PermissionSetGroupId"":null,""Profile"":{""attributes"":{""type"":""Profile"",""url"":""/services/data/v53.0/sobjects/Profile/00ed00000017IobAAE""},""Id"":""00ed00000017IobAAE"",""Name"":""System Administrator""}}},{""Parent"":{""Id"":""0PSd0000001sKhEGAU"",""Type"":""Regular"",""Label"":""Role: Academic Advisor Portal (Service Users)"",""PermissionSetGroupId"":null,""Profile"":null}}]"
"01p0W000004AaCIQA0","AdvisorPortalTopLevelFilterTest","[{""Parent"":{""Id"":""0PSd0000000oWPgGAM"",""Type"":""Profile"",""Label"":""00ex00000018ozT_128_09_43_34_1"",""PermissionSetGroupId"":null,""Profile"":{""attributes"":{""type"":""Profile"",""url"":""/services/data/v53.0/sobjects/Profile/00ed00000017IobAAE""},""Id"":""00ed00000017IobAAE"",""Name"":""System Administrator""}}}]"
"01pd0000002h25DAAQ","AKBController","[{""Parent"":{""Id"":""0PSd0000000oWPgGAM"",""Type"":""Profile"",""Label"":""00ex00000018ozT_128_09_43_34_1"",""PermissionSetGroupId"":null,""Profile"":{""attributes"":{""type"":""Profile"",""url"":""/services/data/v53.0/sobjects/Profile/00ed00000017IobAAE""},""Id"":""00ed00000017IobAAE"",""Name"":""System Administrator""}}}]"
"01p6T000003ww6HQAQ","AKBControllerTest","[{""Parent"":{""Id"":""0PSd0000000oWPgGAM"",""Type"":""Profile"",""Label"":""00ex00000018ozT_128_09_43_34_1"",""PermissionSetGroupId"":null,""Profile"":{""attributes"":{""type"":""Profile"",""url"":""/services/data/v53.0/sobjects/Profile/00ed00000017IobAAE""},""Id"":""00ed00000017IobAAE"",""Name"":""System Administrator""}}}]"
"01pd0000003vYdsAAE","AlertHandler","[{""Parent"":{""Id"":""0PSd0000000oWPgGAM"",""Type"":""Profile"",""Label"":""00ex00000018ozT_128_09_43_34_1"",""PermissionSetGroupId"":null,""Profile"":{""attributes"":{""type"":""Profile"",""url"":""/services/data/v53.0/sobjects/Profile/00ed00000017IobAAE""},""Id"":""00ed00000017IobAAE"",""Name"":""System Administrator""}}}]"
